,thread_id,created_at,created_by,message
143,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:36:24.674000+00:00,Bot,Take a look at
144,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:36:58.737000+00:00,Bot,What kind of property are you looking for?
149,08d25471a4da49bcb1a5c2cf705873e8,2021-11-11T00:56:08.052000+00:00,Customer,Land for Sale
158,096ca241c7744facaea7a11f6110b4ca,2021-07-22T16:36:56.639000+00:00,Bot,How many bedrooms are you looking for?
159,096ca241c7744facaea7a11f6110b4ca,2021-07-22T16:37:00.343000+00:00,Customer,2 BHK
160,096ca241c7744facaea7a11f6110b4ca,2021-07-22T16:38:04.531000+00:00,Customer,Schedule a site Visit
172,0aa3e1cfd03e4e78864e84f6823f86db,2021-11-08T16:02:05.612000+00:00,Bot,What can I help you with today?
173,0aa3e1cfd03e4e78864e84f6823f86db,2021-11-08T16:05:01.339000+00:00,Customer,Others
208,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:56:36.476000+00:00,Bot,What can I help you with today?
209,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:57:06.634000+00:00,Bot,Let's start with your name.
210,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:57:52.299000+00:00,Customer,+917278211643
211,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:58:17.729000+00:00,Bot,Which location within Kolkata are you looking for?
212,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:58:39.854000+00:00,Customer,Eternis on Jessore Road
213,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:59:20.429000+00:00,Bot,Take a look at
214,0d0c3bd902154b3dad5d4cfd6c5fe20c,2021-11-10T11:59:59.906000+00:00,Customer,Get a call back from our Property Advisor
218,0d77ce17b5474fce943ff55f639dbdaf,2021-07-23T09:11:21.435000+00:00,Bot,We have the following properties within North Kolkata
219,0d77ce17b5474fce943ff55f639dbdaf,2021-07-23T09:11:27.019000+00:00,Customer,Eternia
220,0d77ce17b5474fce943ff55f639dbdaf,2021-07-23T09:11:58.780000+00:00,Bot,End of 2022
221,0d77ce17b5474fce943ff55f639dbdaf,2021-07-23T09:12:14.772000+00:00,Bot,Take a look at
222,0d852efd6d904e81ae1795f0589cb363,2021-07-25T12:03:46.196000+00:00,Customer,Land for Sale
232,0e28b3a0bea84131b46fc9ee9f4ff4b5,2021-08-07T14:32:36.279000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
233,0e28b3a0bea84131b46fc9ee9f4ff4b5,2021-08-07T14:33:09.073000+00:00,Customer,Central Kolkata
234,0e28b3a0bea84131b46fc9ee9f4ff4b5,2021-08-07T14:33:26.637000+00:00,Bot,"We have the following sizes available in 3 BHK.

Click on one to check the unit plan."
238,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:51:05.973000+00:00,Bot,"Hi, I am Srijan Chat Bot. Welcome to Srijan."
239,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:51:32.317000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
240,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:57.244000+00:00,Customer,"Ozone on E M Bypass main road, Near Sahid Khudiram Metro"
241,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:57.518000+00:00,Bot,"Ozone is located on EM Bypass, Near Shahid Khudiram Metro, South Kolkata.

The project comprises of 450 plus luxury home with 2, 3 & 4BHK options."
242,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:57.519000+00:00,Bot,Take a look at
243,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:50.011000+00:00,Bot,"We have the following sizes available in 3 BHK.

Click on one to check the unit plan."
244,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:53.905000+00:00,Customer,1343 sqft
245,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:54.075000+00:00,Bot,Take a look at
246,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:54:15.070000+00:00,Bot,Take a look at
251,0f09e4c4852a497a95e847f11c941b7c,2021-07-25T01:40:38.345000+00:00,Bot,What can I help you with today?
252,0f09e4c4852a497a95e847f11c941b7c,2021-07-25T01:40:48.282000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
253,0f09e4c4852a497a95e847f11c941b7c,2021-07-25T01:40:56.083000+00:00,Customer,Srikanta
254,0f09e4c4852a497a95e847f11c941b7c,2021-07-25T01:41:34.137000+00:00,Bot,Take a look at the image gallery below
255,0f09e4c4852a497a95e847f11c941b7c,2021-07-25T01:41:44.346000+00:00,Bot,"Great!

Our property advisor will be happy to help you."
258,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:35:50.290000+00:00,Bot,A phone number we can contact you on?.
259,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:36:15.284000+00:00,Bot,How many bedrooms are you looking for?
260,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:36:58.752000+00:00,Customer,Eternis on Jessore Road
261,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:36:58.979000+00:00,Bot,Take a look at
262,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:37:15.264000+00:00,Customer,Location
263,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:38:51.036000+00:00,Bot,Take a look at
264,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:38:59.167000+00:00,Customer,Possession
265,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:38:59.433000+00:00,Bot,Ready to move
266,0f1e398cfa244124aba37d75a5abfd96,2021-11-10T09:39:18.936000+00:00,Bot,Take a look at
284,108b0bbb676744979fdf72af56c09cfe,2021-08-04T09:21:18.398000+00:00,Customer,Property Requirement
285,108b0bbb676744979fdf72af56c09cfe,2021-08-04T09:21:18.646000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
289,10c72a1966164d54b003a3191ffa513e,2021-08-08T08:21:05.682000+00:00,Bot,What can I help you with today?
290,10c72a1966164d54b003a3191ffa513e,2021-08-08T08:21:30.655000+00:00,Bot,"That's a lovely name, Suraj Jha!"
291,10c72a1966164d54b003a3191ffa513e,2021-08-08T08:22:02.068000+00:00,Bot,We have the following properties within North Kolkata
292,10c72a1966164d54b003a3191ffa513e,2021-08-08T08:22:10.146000+00:00,Bot,"We have Eternis on Jessore Road.

Eternis is located on Jessore Road, Doltala More, North Kolkata. The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
293,10c72a1966164d54b003a3191ffa513e,2021-08-08T08:23:10.361000+00:00,Customer,jha.surajaha@gmail.com
310,123127f38037431a9f24a21bb85e8e3c,2021-11-09T01:12:35.299000+00:00,Customer,Property Requirement
311,124330d2ab9943c6a2d3850e99629d79,2021-08-02T04:03:39.884000+00:00,Customer,Others
317,129a9814d6ac409db2f8af8e4815bd21,2021-07-28T05:39:52.736000+00:00,Bot,What can I help you with today?
318,129a9814d6ac409db2f8af8e4815bd21,2021-07-28T05:40:08.454000+00:00,Bot,"That's a lovely name, Avinash!"
319,129a9814d6ac409db2f8af8e4815bd21,2021-07-28T05:40:22.843000+00:00,Bot,What kind of property are you looking for?
320,129a9814d6ac409db2f8af8e4815bd21,2021-07-28T05:40:30.973000+00:00,Customer,Shopping Malls
328,1385ab8737344bfebdb71c5834bcdc34,2021-07-28T19:10:26.028000+00:00,Customer,Job Related Inquiry
329,13878168cf39489dbae506e678ad02d6,2021-07-24T09:04:19.267000+00:00,Customer,3 BHK
330,13878168cf39489dbae506e678ad02d6,2021-07-24T09:04:32.775000+00:00,Bot,Take a look at
331,13878168cf39489dbae506e678ad02d6,2021-07-24T09:07:48.611000+00:00,Customer,Eternia
332,13878168cf39489dbae506e678ad02d6,2021-07-24T09:07:48.946000+00:00,Bot,"Imagine a vibrant city life surrounded by the quiet foot-prints of nature. Opposite to NSG hub on Badu road and 2.2 km from Madhyamgram Chowmatha – Eternia will be an urban living habitat engulfed byacres of green paradise.

Native birds, regional trees and a large natural water body surround the locality. A simple walk round this place would take you to a quaint fiction.

Eternia will be the new Madhyamgram."
349,15130326e17546b9a0fae5594e113f8c,2021-11-09T10:13:36.109000+00:00,Bot,"Hi, I am Srijan Chat Bot. Welcome to Srijan."
350,15130326e17546b9a0fae5594e113f8c,2021-11-09T10:16:14.759000+00:00,Customer,Job Related Inquiry
361,15af4ebcad9e4b8fa9593469d7403e55,2021-07-28T16:25:21.477000+00:00,Customer,Property Requirement
364,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:58:08.474000+00:00,Customer,Property Requirement
365,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:58:08.780000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
366,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:58:36.280000+00:00,Bot,How many bedrooms are you looking for?
367,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:58:40.932000+00:00,Bot,Which location within Kolkata are you looking for?
368,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:07.762000+00:00,Customer,Possession
369,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:07.977000+00:00,Bot,Take a look at
370,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:39.817000+00:00,Customer,Residential
371,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:44.016000+00:00,Customer,3 BHK
372,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:55.879000+00:00,Bot,"Eternis is located on Jessore Road, Doltala More, North Kolkata.

The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
373,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T17:59:55.880000+00:00,Bot,Take a look at
374,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T18:00:01.875000+00:00,Bot,We have the following sizes available in 3 BHK. Click on one to check the unit plan.
375,1627ccb1f112456c986e34f47e3e7a51,2021-07-07T18:00:06.634000+00:00,Bot,Take a look at
390,18026d6442ac4750880d08c88053ca6f,2021-11-09T06:53:35.110000+00:00,Bot,What can I help you with today?
391,18026d6442ac4750880d08c88053ca6f,2021-11-09T06:53:52.334000+00:00,Bot,Let's start with your name.
392,18026d6442ac4750880d08c88053ca6f,2021-11-09T06:54:34.517000+00:00,Customer,2 BHK
420,1a0d39d06c514a33a4e61f2eeea62163,2021-11-08T19:06:35.336000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
421,1a0d39d06c514a33a4e61f2eeea62163,2021-11-08T19:08:12.767000+00:00,Customer,NATURA near New Alipore petrol pump
430,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:07:17.977000+00:00,Bot,"Hi, I am Srijan Chat Bot. Welcome to Srijan."
431,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:07:38.527000+00:00,Customer,mainak das
432,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:07:38.963000+00:00,Bot,A phone number we can contact you on?.
433,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:08:11.747000+00:00,Customer,4 BHK
434,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:08:17.471000+00:00,Bot,We have the following properties available in South Kolkata
435,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:08:26.307000+00:00,Customer,Central Kolkata
436,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:08:26.680000+00:00,Bot,We have the following properties available in Central Kolkata
437,1b235d55ee2547a48f8e36c8d3045a24,2021-07-26T15:08:42.699000+00:00,Customer,"Ozone on E M Bypass main road, Near Sahid Khudiram Metro"
439,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:33:20.678000+00:00,Customer,Property Requirement
440,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:33:21.030000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
441,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:34:33.680000+00:00,Customer,+919830654708
442,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:34:34.022000+00:00,Bot,What kind of property are you looking for?
443,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:34:43.938000+00:00,Bot,How many bedrooms are you looking for?
444,1b7ab2c23dce4efdb598e4d1f002f21a,2021-11-09T05:35:02.239000+00:00,Bot,We have the following properties available in Central Kolkata
461,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:18:37.670000+00:00,Bot,A phone number we can contact you on?.
462,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:19:26.018000+00:00,Customer,4 BHK
463,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:19:33.070000+00:00,Bot,We have the following properties available in South Kolkata
464,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:19:39.398000+00:00,Bot,We have the following properties available in Central Kolkata
465,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:19:43.438000+00:00,Bot,"Twin residential towers standing tall at 21 storeys each, with 4 bedroom apartments in Topsia, off EM Bypass, one of the fastest developing localities in the heart of the city.

Nestled in acres of luxury, Zen brings a lifestyle with a rare mix of value and vanity. An attitude, and a belief. The solitute, yet a holistic connection.

Zen is a moment. The present moment. ZEN...Live Zentastic..."
466,1cab3a97ed4b4a6d89914f111de96132,2021-08-03T06:20:00.747000+00:00,Customer,Image Gallery
467,1cb39bab70d24559b55c0d632426cec0,2021-07-24T15:59:05.879000+00:00,Bot,Which location within Kolkata are you looking for?
468,1cb39bab70d24559b55c0d632426cec0,2021-07-24T16:00:33.387000+00:00,Bot,How else can we help you?
469,1cb39bab70d24559b55c0d632426cec0,2021-07-24T16:01:24.007000+00:00,Customer,abhisekde_engg@rediffmail.com
470,1cb39bab70d24559b55c0d632426cec0,2021-07-24T16:01:31.674000+00:00,Bot,"Great! We will contact you at the earliest.

In the meanwhile if you would like to reach out to us you can call us at 033 4040 2020 (10.30 am to 6.30 pm)"
477,1d35d1be20a24ec79b2e23d65d5ccbb4,2021-07-27T19:23:48.771000+00:00,Bot,What can I help you with today?
478,1d35d1be20a24ec79b2e23d65d5ccbb4,2021-07-27T19:23:54.712000+00:00,Customer,Others
479,1d35d1be20a24ec79b2e23d65d5ccbb4,2021-07-27T19:23:54.941000+00:00,Bot,"If your query is not listed above, please call us at 033 4040 2020 or mail us at info@srijanrealty.com."
480,1d426a6feff742769282ab1891521b63,2021-07-10T18:12:25.750000+00:00,Bot,"That's a lovely name, Ikbal Kabir!"
481,1d426a6feff742769282ab1891521b63,2021-07-10T18:12:36.720000+00:00,Customer,+918381084286
482,1d426a6feff742769282ab1891521b63,2021-07-10T18:12:49.036000+00:00,Customer,Central Kolkata
483,1d426a6feff742769282ab1891521b63,2021-07-10T18:12:49.577000+00:00,Bot,Here are the properties located within Central Kolkata
484,1d426a6feff742769282ab1891521b63,2021-07-10T18:13:00.103000+00:00,Customer,"The Address on EM Bypass, opposite Science City"
485,1d426a6feff742769282ab1891521b63,2021-07-10T18:13:00.481000+00:00,Bot,"The Address is an iconic residential complex redefining benchmarks in design & luxury that is comparable to world’s best. Our pride. The envy of others.

Welcome to the lap of nature, where the blue sky meets the horizon, surrounded by green lands and natural water bodies. A sense of calm, a breath of fresh air, life at your pace, and knowing everything is awaiting you.

Being right where the action is, being in the loop – not to escape the everyday, but to embrace it; not to be somewhere else, because where you are is just perfect."
486,1d426a6feff742769282ab1891521b63,2021-07-10T18:13:00.482000+00:00,Bot,Take a look at
496,1e8f389fc46c46d3be124685e45ace72,2021-08-04T06:12:48.460000+00:00,Customer,Property Requirement
506,1fd18527a365471fb2a38c48b6c4aaf0,2021-11-09T15:55:51.497000+00:00,Customer,No
507,1fd18527a365471fb2a38c48b6c4aaf0,2021-11-09T15:56:19.191000+00:00,Customer,+918213654866
508,1fd18527a365471fb2a38c48b6c4aaf0,2021-11-09T15:56:30.885000+00:00,Customer,3 BHK
509,1fd18527a365471fb2a38c48b6c4aaf0,2021-11-09T15:56:31.209000+00:00,Bot,Which location within Kolkata are you looking for?
510,1fd18527a365471fb2a38c48b6c4aaf0,2021-11-09T15:56:51.816000+00:00,Bot,Take a look at
517,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:47:23.472000+00:00,Bot,What can I help you with today?
518,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:47:56.452000+00:00,Bot,What kind of property are you looking for?
519,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:48:00.244000+00:00,Bot,How many bedrooms are you looking for?
520,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:48:55.819000+00:00,Customer,Location
521,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:49:02.791000+00:00,Customer,Available Sizes & Floor Plans
522,206160ed89a0462aa42f786dedcaddf1,2021-08-04T17:49:10.852000+00:00,Bot,Take a look at
523,20d33d280aee403a9b64b9815b301a87,2021-07-11T11:48:54.012000+00:00,Bot,Take a look at
524,20d33d280aee403a9b64b9815b301a87,2021-07-11T11:49:33.741000+00:00,Customer,1252 sqft
527,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T10:54:21.769000+00:00,Bot,A phone number we can contact you on?.
528,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T10:55:52.142000+00:00,Bot,We have the following properties within North Kolkata
529,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:00:28.820000+00:00,Customer,Location
530,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:09:05.844000+00:00,Customer,Eternis on Jessore Road
531,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:20:17.385000+00:00,Customer,Price
532,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:20:17.543000+00:00,Bot,Take a look at
533,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:22:14.945000+00:00,Bot,Take a look at the image gallery below
534,211f1df5b9764f6e803460d1da83a7ce,2021-07-29T11:54:32.240000+00:00,Customer,1252 sqft
537,21993452c4704117953f1294d4f3cafc,2021-08-04T14:24:42.850000+00:00,Bot,"Hi, I am Srijan Chat Bot. Welcome to Srijan."
538,21993452c4704117953f1294d4f3cafc,2021-08-04T14:24:58.779000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
539,21993452c4704117953f1294d4f3cafc,2021-08-04T14:25:13.991000+00:00,Bot,A phone number we can contact you on?.
540,21993452c4704117953f1294d4f3cafc,2021-08-04T14:25:29.351000+00:00,Bot,What kind of property are you looking for?
541,21993452c4704117953f1294d4f3cafc,2021-08-04T14:25:39.482000+00:00,Customer,Commercial
542,21993452c4704117953f1294d4f3cafc,2021-08-04T14:25:49.604000+00:00,Customer,PS Srijan Corporate Park
543,21993452c4704117953f1294d4f3cafc,2021-08-04T14:27:13.057000+00:00,Customer,Rent
544,21993452c4704117953f1294d4f3cafc,2021-08-04T14:27:13.243000+00:00,Bot,Thanks! Let's get you in touch with our property advisor.
